Score: 232 | Energy: 27.35
Score: 264 | Energy: 18.17
Score: 350 | Energy: 28.38
Score: 226 | Energy: 15.16
Score: 186 | Energy: 25.42
Score: 276 | Energy: 29.21
Score: 314 | Energy: 38.64
Score: 242 | Energy: 21.22
Score: 230 | Energy: 28.27
Score: 390 | Energy: 18.07
Score: 318 | Energy: 12.64
Score: 352 | Energy: 16.06
Score: 400 | Energy: 15.45
Score: 330 | Energy: 16.16
Score: 370 | Energy: 16.49
Score: 326 | Energy: 12.96
Score: 398 | Energy: 16.41
Score: 204 | Energy: 20.34
Score: 198 | Energy: 15.55
Score: 184 | Energy: 18.88
Score: 190 | Energy: 14.00
Score: 200 | Energy: 10.33
Score: 190 | Energy: 9.79
Score: 216 | Energy: 13.61
Score: 210 | Energy: 17.88
Score: 204 | Energy: 21.09
Score: 444 | Energy: 11.01
Score: 356 | Energy: 11.60
Score: 302 | Energy: 10.51
Score: 248 | Energy: 30.95
Score: 198 | Energy: 32.11
Score: 298 | Energy: 22.04
Score: 356 | Energy: 23.51
Score: 356 | Energy: 17.34
Score: 250 | Energy: 24.16
Score: 330 | Energy: 20.45
Score: 382 | Energy: 17.50
Score: 318 | Energy: 14.47
Score: 344 | Energy: 14.26
Score: 366 | Energy: 19.80
Score: 262 | Energy: 12.45
Score: 380 | Energy: 14.69
Score: 330 | Energy: 12.74
Score: 300 | Energy: 17.94
Score: 260 | Energy: 17.60
Score: 248 | Energy: 13.11
Score: 208 | Energy: 15.24
Score: 322 | Energy: 15.76
Score: 260 | Energy: 23.15
Score: 430 | Energy: 9.76
Score: 324 | Energy: 30.52
Score: 298 | Energy: 11.17
Score: 354 | Energy: 13.86
Score: 444 | Energy: 12.40
Score: 302 | Energy: 11.04
Score: 376 | Energy: 22.41
Score: 262 | Energy: 12.43
Score: 222 | Energy: 13.74
Score: 428 | Energy: 31.35
Score: 352 | Energy: 18.87
Score: 384 | Energy: 13.62
Score: 288 | Energy: 15.96
Score: 440 | Energy: 11.04
Score: 308 | Energy: 10.29
Score: 214 | Energy: 10.56
Score: 274 | Energy: 11.53
Score: 246 | Energy: 8.75
Score: 298 | Energy: 11.50
Score: 350 | Energy: 11.96
Score: 308 | Energy: 8.67
Score: 418 | Energy: 11.44
Score: 212 | Energy: 10.61
Score: 248 | Energy: 8.28
Score: 396 | Energy: 17.49
Score: 276 | Energy: 11.15
Score: 308 | Energy: 9.24
Score: 274 | Energy: 14.78
Score: 320 | Energy: 7.75
Score: 368 | Energy: 10.50
Score: 298 | Energy: 14.81
Score: 354 | Energy: 7.55
Score: 258 | Energy: 11.56
Score: 222 | Energy: 25.68
Score: 258 | Energy: 13.73
Score: 192 | Energy: 11.54
Score: 182 | Energy: 19.17
Score: 214 | Energy: 14.36
Score: 182 | Energy: 10.73
Score: 214 | Energy: 14.08
Score: 200 | Energy: 13.44
Score: 198 | Energy: 14.30
Score: 294 | Energy: 10.77
Score: 342 | Energy: 10.83
Score: 368 | Energy: 9.39
Score: 306 | Energy: 8.44
Score: 330 | Energy: 17.47
Score: 296 | Energy: 7.77
Score: 348 | Energy: 9.57
Score: 378 | Energy: 8.58
Score: 338 | Energy: 9.89
Score: 398 | Energy: 10.89
Score: 308 | Energy: 12.52
Score: 314 | Energy: 9.22
Score: 306 | Energy: 9.34
Score: 212 | Energy: 16.92
Score: 326 | Energy: 9.03
Score: 370 | Energy: 15.70
Score: 192 | Energy: 14.30
Score: 382 | Energy: 8.97
Score: 314 | Energy: 8.07
Score: 322 | Energy: 17.92
Score: 272 | Energy: 7.19
Score: 348 | Energy: 13.99
Score: 274 | Energy: 14.70
Score: 186 | Energy: 11.87
Score: 222 | Energy: 10.14
Score: 200 | Energy: 12.93
Score: 188 | Energy: 15.67
Score: 220 | Energy: 16.02
Score: 382 | Energy: 12.18
Score: 176 | Energy: 16.30
Score: 256 | Energy: 9.77
Score: 238 | Energy: 11.67
Score: 294 | Energy: 10.78
Score: 220 | Energy: 15.83
Score: 236 | Energy: 6.91
Score: 332 | Energy: 10.35
Score: 332 | Energy: 9.28
Score: 348 | Energy: 8.19
Score: 396 | Energy: 11.86
Score: 246 | Energy: 8.31
Score: 288 | Energy: 11.34
Score: 328 | Energy: 9.69
Score: 334 | Energy: 6.61
Score: 436 | Energy: 7.34
Score: 306 | Energy: 19.04
Score: 312 | Energy: 9.25
Score: 440 | Energy: 7.86
Score: 484 | Energy: 8.71
Score: 270 | Energy: 5.80
Score: 354 | Energy: 8.61
Score: 418 | Energy: 11.19
Score: 276 | Energy: 5.96
Score: 424 | Energy: 11.43
Score: 190 | Energy: 16.00
Score: 228 | Energy: 8.92
Score: 336 | Energy: 11.68
Score: 308 | Energy: 11.90
Score: 320 | Energy: 10.03
Score: 196 | Energy: 10.81
Score: 196 | Energy: 10.40
Score: 246 | Energy: 7.19
Score: 256 | Energy: 25.19
Score: 340 | Energy: 19.05
Score: 406 | Energy: 23.80
Score: 318 | Energy: 13.96
Score: 382 | Energy: 15.51
Score: 216 | Energy: 14.86
Score: 298 | Energy: 19.45
Score: 430 | Energy: 17.56
Score: 466 | Energy: 28.59
Score: 308 | Energy: 20.71
Score: 366 | Energy: 15.45
Score: 364 | Energy: 18.77
Score: 364 | Energy: 34.52
Score: 416 | Energy: 24.17
Score: 316 | Energy: 23.65
Score: 446 | Energy: 20.96
Score: 238 | Energy: 22.88
Score: 200 | Energy: 27.40
Score: 120 | Energy: 22.38
Score: 160 | Energy: 28.75
Score: 150 | Energy: 39.35
Score: 170 | Energy: 17.52
Score: 170 | Energy: 17.98
Score: 160 | Energy: 30.11
Score: 350 | Energy: 27.96
Score: 150 | Energy: 27.95
Score: 140 | Energy: 24.36
Score: 120 | Energy: 34.38
Score: 160 | Energy: 36.49
Score: 170 | Energy: 36.07
Score: 150 | Energy: 21.13
Score: 220 | Energy: 34.69
Score: 170 | Energy: 23.80
Score: 140 | Energy: 19.39
Score: 180 | Energy: 23.88
Score: 160 | Energy: 30.37
Score: 190 | Energy: 24.22
Score: 160 | Energy: 26.48
Score: 130 | Energy: 26.30
Score: 140 | Energy: 21.68
Score: 130 | Energy: 34.95
Score: 210 | Energy: 20.73
Score: 170 | Energy: 24.72
Score: 150 | Energy: 20.96
Score: 130 | Energy: 23.66
Score: 310 | Energy: 42.33
Score: 140 | Energy: 22.78
Score: 180 | Energy: nan
Score: 140 | Energy: 24.37
Score: 140 | Energy: 14.05
Score: 130 | Energy: 13.82
Score: 140 | Energy: 15.66
Score: 180 | Energy: 13.40
Score: 130 | Energy: 5.70
Score: 90 | Energy: 6.31
Score: 150 | Energy: 7.71
Score: 160 | Energy: 7.58
Score: 130 | Energy: 7.73
Score: 120 | Energy: 26.79
Score: 130 | Energy: 11.44
Score: 120 | Energy: 16.73
Score: 150 | Energy: 20.65
Score: 190 | Energy: 37.29
Score: 250 | Energy: 13.89
Score: 130 | Energy: 3.38
Score: 180 | Energy: 4.80
Score: 150 | Energy: nan
Score: 120 | Energy: nan
Score: 150 | Energy: nan
Score: 140 | Energy: nan
Score: 130 | Energy: nan
Score: 110 | Energy: nan
Score: 100 | Energy: nan
Score: 80 | Energy: nan
Score: 100 | Energy: 18.67
Score: 120 | Energy: 22.12
Score: 130 | Energy: 12.70
Score: 110 | Energy: 11.71
Score: 200 | Energy: 11.87
Score: 140 | Energy: 12.22
Score: 110 | Energy: 5.63
Score: 120 | Energy: 8.44
Score: 140 | Energy: 9.93
Score: 110 | Energy: 12.61
Score: 140 | Energy: 13.29
Score: 100 | Energy: 5.54
Score: 100 | Energy: 4.91
Score: 150 | Energy: 3.72
Score: 160 | Energy: 10.46
Score: 250 | Energy: 7.73
Score: 280 | Energy: 12.39
Score: 130 | Energy: 6.82
Score: 100 | Energy: 6.85
Score: 130 | Energy: 6.96
Score: 130 | Energy: 3.15
Score: 100 | Energy: 5.38
